Symptom,Frequency
bleeding issue,4
ulcerative colitis flare,4
autoimmune disorders,4
blood clotting cancer,4
idiopathic pulmonary fibrosis,4
musculoskeletal stiffness ( non-serious ),4
"pain head , hands , knees , ankle , feet , back ``",4
swelling ``,4
carpal tunnel syndrome,4
pain arm ``,4
arm hurting,4
constant mild severe headache,4
polymerase chain reaction,4
mild vertigo,4
intense headache,4
parkinson 's disease,4
really tired,4
ocular discomfort,4
musculoskeletal stiffness ( non-serious ) onset,4
pressure head,4
arm little sore vaccine,4
compressing throat,4
10/10 pain,4
radiating finger tips/lymphadenopathy,4
rash swelling,4
abdominal pain upper ( non-serious ),4
tremor ( non-serious ),4
low energy,4
severe numbness,4
aching joints,4
bone sensitivity pain,4
testicular pain,4
loe events,4
muscle bone pain,4
stroke like symptoms,4
false heart attacks,4
arthritis sensitive barometric changes,4
iron deficiency anemia,4
mild sore throat,4
symptomatic covid infection,4
patient adverse reaction,4
mild chest pain,4
muscle pains,4
paralyzed,4
mild chest discomfort,4
metastatic poorly differentiated carcinoma,4
cardiomegaly vascular congestion,4
itchy throat,4
rotator cuff issue,4
head ache,4
stroke symptoms,4
increased confusion,4
infected,4
tingling arms legs,4
extremely heavy severe cramping,4
sprain,4
severe right sided joint muscle pain,4
squeezing turning sensation,4
left arm swelling,4
light diarrhea,4
entire body muscle twitching,4
throbbing headache,4
lousy,4
slight dull headache,4
arms much sore time,4
arm really sore,4
softball size lump,4
heart issues reaction,4
skin reaction,4
skin breaks hives,4
itches,4
burns turns red,4
suicidal ideation,4
chronic combined systolic diastolic congestive heart failure,4
positive headaches,4
aortic stenosis,4
runny nose/ fatigue,4
boil arm painful,4
right arm tender,4
irregular period severe cramping lower left side abdomen,4
puffy red rash across cheeks,4
fingers tingling numb,4
1st rash,4
2nd rash,4
generalize weakness,4
grave 's disease,4
extreme swelling feet,4
whole body super red hives,4
face itch,4
moderate severe abdominal pain,4
red hot,4
twitch,4
sleep apnoea syndrome,4
real fatigue,4
whole left arm painful,4
progressive symmetrical facial upper extremity muscle weakness,4
shoulder blades,4
nontender,4
acute respiratory insufficiency,4
tinnitus ears,4
overall weakness,4
bone swelling,4
severe flu-like symptoms,4
low platelet count,4
muscle issues,4
cardiac arrhythmias,4
"muscle , body pain",4
mouth ulceration,4
panic attacks,4
poor oral intake,4
blood clots lungs,4
new worsening symptoms,4
bruised swollen,4
red rash / lower back / left arm,4
mild soreness injection site,4
warm tingling sensation,4
much pain elbow fingers,4
ball 's eye red inflammation,4
little swollen sore,4
significant persistent pain neck area / upper spine,4
acute myasthenia gravis crisis,4
numbing tingling left arm,4
speeding clear substance,4
blister lesions,4
asthenopia,4
numbness leg,4
mild flu-like symptoms,4
blood clot upper left shoulder around neck,4
breakthrough infections,4
pulmonary congestion,4
inflammation brain,4
problems inflammation,4
left axillary pain swelling,4
fast heart rate,4
impacted cerumen,4
pt 's symptoms,4
vomiting blood,4
dark bruise,4
presses arm sore,4
moaning pain,4
swollen stomach,4
discomforting,3
sore arm jab site,3
"widespread , sevre erythrodermic skin eruption",3
lichenoid drug eruption,3
vomiting ( non-serious ) onset,3
extremely swollen arm pit lymph node,3
general aching,3
pet dander allergy,3
manic episode,3
syncope low blood pressures ),3
hives rashes legs arms,3
sinuses irritating,3
whole body hurts,3
scoliosis implanted spinal rod,3
back/neck pain,3
sinus disorder,3
soreness left arm,3
unable sleep,3
hurts touch,3
mass ( non-serious ),3
tested positive covid virus,3
severely terrible sore throat swallowing,3
prolia,3
sensitive hormones,3
several yeast infections,3
allergic rhinitis,3
haemorrhage,3
left sided arm injection site pain,3
significant level pain,3
neurological pain,3
hot cold,3
body fatigue,3
dysgeusia ( non-serious ),3
blood cholesterol abnormal,3
little headache fuzziness head,3
slightly tender site injection,3
anxiety ``,3
hot flush,3
flare chronic pain,3
sluggishness,3
hidradenitis,3
soreness arm injection site,3
mild joint pain,3
crippled arthritis,3
patient reaction,3
monoclonal antibodies,3
elevated troponin level,3
facial numbness,3
mark/bruise,3
serious brain fog,3
serious side effects,3
swollen left armpit,3
body ache headache,3
rash fever,3
following symptoms,3
fatique,3
floaters,3
severely swollen,3
blacking,3
extremely pale,3
swelled,3
slightly sore,3
swollen painful,3
continued symptoms,3
complete resolution symptoms,3
initial reaction,3
pain inflammation,3
menopause,3
weakness legs,3
weakness right leg,3
acute stroke,3
enlarged heart,3
medication headache,3
scleroderma,3
disease,3
severe tinnitus,3
mild pain injection site,3
pain arm pit,3
entire body aches,3
sleep,3
nausea-mild,3
covid19 pneumonia,3
managed symptoms,3
itching pain,3
little lump,3
anxiety depression,3
chest area,3
gallstones,3
dizzyness,3
mssa,3
extremely weak,3
acute pe,3
kidney failure,3
sensitivity light,3
demyelination,3
pain fever,3
pain relievers,3
uri,3
cardiac arrhythmia,3
respiratory status,3
rash injection site,3
lips swelling,3
peripheral edema,3
eye swelling,3
sense smell,3
constant headaches,3
blood clotting,3
previous reaction,3
progressively worsening sob,3
/chills,3
pulmonary hypertension,3
ckd iii,3
graves disease,3
severe bleeding,3
soreness site,3
vitamin deficiency,3
c-diff,3
unusual symptoms,3
gbs,3
light bleeding,3
lips swollen,3
urticarial rash,3
reactive arthritis,3
heavy vaginal bleeding,3
vaccinated,3
sacroiliitis,3
esophagitis,3
benign essential hypertension,3
tenderness deformity,3
worsening weakness,3
shortness breathe,3
discharge,3
breathing difficulty,3
post nasal drainage,3
upper respiratory infection,3
body chills,3
return symptoms,3
head aches,3
worsening confusion,3
slight sore arm,3
arrythmia,3
rash/hives,3
arm pain injection site,3
bleeding gums,3
hypoglycemia,3
mid back pain,3
large clots,3
claudication,3
cardiomegaly,3
frequent headaches,3
`` heart palpitations,3
mild allergic reaction,3
cough/congestion,3
focal weakness,3
positive fatigue,3
positive cough shortness breath,3
positive diarrhea,3
positive myalgias,3
light-headed,3
uncontrollable shaking,3
head trauma,3
orthostatic hypotension,3
tunnel vision,3
extreme shortness breath,3
blood clot leg,3
clot brain,3
bad cough,3
contact dermatitis,3
cold/flu symptoms,3
cll,3
bilateral hearing loss,3
mucous membranes dry,3
guarding,3
ill-appearing,3
cranial nerve deficit,3
red swollen,3
muscle & joint pain,3
swelling throat tongue,3
swollen lymph node left arm,3
pupils dilated,3
left arm pit,3
neck back pain,3
atrial fibrillation rvr,3
violent chills,3
extremely ill,3
sinus bradycardia,3
failure,3
significant cad,3
agitated,3
phn,3
patient difficulty breathing,3
tooth pain,3
relief,3
pale diaphoretic,3
tingling hands,3
shooting pains,3
elevated troponin levels,3
problems,3
shallow breathing,3
loss taste/smell,3
breathing difficulties,3
hypertensive crisis,3
overall body aches,3
urgency,3
first-degree av block,3
asystole,3
stabbing,3
swelling arm,3
swelling left arm,3
fever fatigue,3
wet cough,3
mild shortness breath,3
low oxygen saturation,3
agonal breathing,3
chronic urticaria,3
treatment symptoms,3
full body hives,3
slight shortness breath,3
rash entire body,3
chronic conditions,3
covid positive symptoms,3
non-productive cough,3
aflutter,3
severe sore throat,3
nephrotic syndrome,3
nc,3
strep throat,3
feeling weak,3
apnea,3
elevated bp,3
left arm soreness,3
sharp shooting pain,3
still chest pain,3
heart issues,3
lot fatigue,3
sciatic pain,3
pneumonitis,3
sinus drainage,3
moderate muscle aches,3
body rash,3
pain muscle,3
mixed anxiety depressive disorder,3
strep,3
dull pain,3
copd acute exacerbation,3
acute cardiopulmonary process,3
fracture,3
positive activity change,3
hyperactivity,3
nad,3
prior trauma,3
oropharyngeal exudate,3
community-acquired pneumonia,3
worsening cough,3
sinus tachycardia,3
legally blind,3
increasing weakness,3
redness injection site,3
loss smell taste,3
worsening fatigue,3
menstrual cramps,3
heaviness,3
abnormalities,3
asthma exacerbation,3
mastitis,3
hypoxemic,3
sick symptoms,3
reduced temp pain,3
dry coughing,3
tingling lips tongue,3
swelling tongue,3
patient known allergy,3
vision,3
breast lump,3
muscle soreness left arm,3
wheezing chest,3
ear disorder,3
"joint pain shoulders , wrist , fingers , elbows , knees , hips , ankles , toes",3
neck joints,3
rash chest,3
limb discomfort ( non-serious ),3
painful swollen glands lymph nodes,3
heavy pressure center chest tingling,3
"rash torso area , lower hip area",3
spasms esophagus,3
chronic fatigue 's,3
severe elbow pain,3
soreness vaccination site,3
mild wheezing,3
cough ( non-serious ) onset,3
bleeding injection site,3
blood clotting disorder,3
skin itchy,3
lot aches,3
amnesia,3
sore back,3
latex allergy,3
everything swollen like nose,3
muscle/bone aches,3
left node larger right / size swelling,3
inflamed painful painful shoulder,3
one side clump,3
heavy painful menstrual cycles,3
warm sensation chest,3
crohn 's aggravated,3
extreme vertigo type issues,3
menstrual cycle much heavier intense cramping,3
typically vaginal discomfort,3
much painful,3
large blood clot,3
vein disorder,3
huge bleeding,3
severe swelling lymph nodes arm across chest,3
severe nosebleed,3
pretty bad severe rash injection site,3
many clots,3
abnormal ),3
chronic bronchitis,3
right swelling,3
feeling numbness left side face,3
right pain site,3
slight hurt like lower ribs side,3
nasal discomfort,3
pulmonary pain,3
"significant cervical , auricular , occipital lymphadenopathy",3
hashimoto,3
right cervical pain,3
occipital nerve neuralgia,3
sciatic nerve pain,3
menstruation delayed,3
chronic fatigue tingles legs,3
pains dilated blood vessels eyes,3
redness eyes,3
occular pain,3
bloated,3
extreme pain outer edges feet,3
macular degeneration,3
sulfa allergy,3
gait disturbance ( non-serious ) onset,3
foot back,3
foot back/hip/leg pain,3
rash arm,3
arm rash,3
severe allergies,3
hypertension `` ( ongoing ),3
abdominal pain upper,3
muscle tightness ( non-serious ),3
cancer survivor,3
lupus ``,3
swelling breast lymph nodes,3
pain right arm,3
large black blue left leg,3
severe pain right ear skull,3
spinal canal stenosis neural foraminal stenosis,3
acute infarct,3
head cold,3
little swelling,3
type 1 diabetes mellitus,3
gait disturbance ( non-serious ),3
incapacitated,3
frequent chest pains,3
muscle tension base head,3
general fatigue,3
generalized muscle joint pain,3
flatulence ( non-serious ),3
new events,3
severe pain kidneys,3
extreme swelling left eyelid,3
swelling left arm pit,3
swelling little bit injection site,3
excruciating pain extremities knees,3
weakness lower extremities,3
hoarse voice,3
pain middle chest,3
immunisation,3
premenstrual cramps,3
lymph edema,3
teeth hurt,3
extremely sensitive temperature ( hot cold ),3
acne,3
arm soreness swelling,3
upper/lower back knee joints painful,3
sinusitis ( non-serious ),3
resting heart rate elevated,3
elevated d-dimer level,3
fibrin dimer,3
general soreness,3
significant swelling arm,3
hives rash,3
joints muscles aches,3
axillary pain ( non-serious ),3
sore shoulder,3
redness arm,3
right arm pain soreness,3
skin rashes,3
terrible chills,3
terrible stomach ache,3
terrible pain stomach,3
terrible reaction,3
underlying conditions,3
shooting pains left foot,3
vaccination site discolouration,3
ugly rash around fingernails right hand,3
left side face always numb,3
neck muscles tense,3
visually impaired,3
disease recurrence ( non-serious ),3
severe toothache lower left jaw molar,3
hypothyroidism ``,3
skin callus,3
coughing rheumatoid arthritis pain,3
"three spots lung , heart condition",3
pain left side,3
forgetfulness,3
moderate severe rheumatoid arthritis,3
bra line axilla pain,3
painful lips,3
fever blisters lips,3
pulmonary embolisms lungs,3
large heart murmur,3
cardiac murmur,3
flu like body ache,3
sinus chest congestion,3
secretion discharge,3
swelling throat,3
psychomotor hyperactivity,3
massive seizure,3
chest arm blistered arm pit,3
splenic granuloma,3
fever shortness breath,3
heart trouble,3
blood clots feet way lungs,3
bowel incontinence,3
hypophagia,3
pain extremities,3
chronic lymphocytic leukaemia,3
chest block,3
body pain bones muscles,3
thick painful,3
extremely thick painful,3
oedema,3
arthropathy,3
skin hypertrophy,3
idiopathic thrombocytopenia purpura,3
osteopenia,3
bleeding problem,3
super hot red,3
severe period cramping,3
lung pain,3
lumps body,3
psoriatic arthropathy,3
little sore,3
pattern injury,3
compensated cirrhosis,3
autoimmune hepatitis,3
inflammation severity,3
cellular pattern inflammation,3
cirrhosis,3
solitary hepatocellular carcinoma,3
hepatocellular carcinoma,3
severe leg pains,3
thrombosis leg,3
some lumps protruded skin,3
trouble wound,3
lumps,3
vzv ( shingles ) activation,3
lumbar back back,3
unprovoked leg dvt,3
covid-19 symptoms,3
heart rate elevated,3
quite bit fluid swelling left armpit- uncomfortable,3
mild pain site injection,3
menopausal symptoms,3
adverse cardiac events,3
bilateral pleural effusion,3
localized inflammation,3
significant decrease appetite,3
prominent moaning groaning,3
complete fatigue,3
muscle stiffness rigidity,3
rheumatoid arthritis flare ups hips,3
blood stools,3
haematochezia,3
drug events,3
partial hearing loss,3
rash aggravated,3
25 percent loss hearing right high covid-vaccine,3
muscular weakness ( non-serious ),3
ulcerative colitis symptoms,3
acute inflammatory demyelinating polyneuropathy,3
right shoulder,3
small bowel microvascular thrombosis,3
