Disease_ncbi,Frequency_ncbi
other_medical_history osteoporosis,2
sore arm covid humira,1
type 1 diabetes mellitus,2
type 1 diabetes ``,2
massive stroke,1
hepatic cirrhosis,1
anterior neck pain,3
`` subacute thyroiditis ``,1
chronic upper back pain,1
`` chronic upper back pain ``,1
`` fever,2
general body aches,1
headache nausea covid,1
`` vitiligo ``,1
heart lung inflammation,4
`` heart lung inflammation ``,1
neck collar bone swelling,1
collar bone swelling inside arm pain,1
minimal-mostly scratchy throat,1
concussion syndrome,5
`` post concussion syndrome ``,1
`` post concussion syndrome,2
`` head injury ``,1
post concussion syndrome,1
fatigue nasal congestion,1
`` major depressive disorder,1
`` anxiety disorder,1
anxiety disorder,1
`` dysthymia,1
symmetrical facial upper extremity muscle weakness,2
facial paresis,1
facial upper extremity muscle weakness,2
`` progressive symmetrical facial upper extremity muscle weakness,1
facial paresis muscular weakness,1
joint swelling hyperaesthesia,1
glossodynia,3
pyrexia cough,2
muscle joint aches,2
fatigue diarrhoea,1
redness ; arm pain,1
`` migraine aura ``,1
`` hypoglycemia ``,1
muscle aches pains,1
jaw pain pain shoulder blades lump collar bone lump,1
drainage erythema,1
left shoulder tenderness,1
keloid,1
skin irritated itchy,1
extrene migraine,1
numbness lower left leg,1
left chest tightness pain,1
numbness top left foot,1
inflammation arthritis wrists shoulders,1
"pain left shoulder , ache wrists",1
numbness lower left leg/top left foot,1
decreased function right extremity,1
covid + bilateral pneumonia renal failure,1
hypertension lung disease,1
shivering,1
ed facility hypoxia dyspnea,2
swelling eyelids,1
lips redness,1
splotches face,1
sudden sensorineural hearing loss left ear,1
stretcher lower extremities,1
left sided facial paralysis,1
vestibular disturbance ataxia,1
rhinorrhea congestion,1
tenderness behind left ear inner ear,1
cardiovascular disease,1
microvascular congestion,1
maxed niv+inhaled epoprostenol,2
schamberg 's capillaritis,1
dianogsis arthritis pains,1
scintillating scotomas,1
generalized headache facial numbness,1
visual migraines,1
visual aura,1
covid + pneumonia aki pancytopenia,1
bilateral airspace opacity,1
pathologic fracture,1
pulmonary arterial hypertension right sided heart failure,1
rv dilation,1
tricuspid regurgitation,1
multiple myeloma,1
chronic intermittent diarrhea sunday diarrhea,1
ble swelling,1
diaphoresis fever,2
constipation vomiting,1
extremity weakness,1
"numbness , paresthesias extremity weakness",1
myeloma,1
nonocclusive right popliteal vein thrombus,1
abdominal pain allergies,1
"swollen tongue , ulcers/sores mouth throat",1
diarrhea stomach pain,1
twiching,1
numbness limbs,2
face neck,1
inner ear disturbances,1
mast cell activation syndrome,1
hoarse voice,3
edema left axilla,1
sore throat low-grade fever,1
sore throat fever,2
bodyaches fatigue,1
pain armpit left arm dec 24 muscle aches,1
painful swelling armpit,1
shoulder/neck pain,8
blurred vision headache,4
tender ocular migraine,1
odd left armpit pain,1
neck/shoulder pain,1
swelling tenderness armpit,1
fatigue sinus pain,2
"left breast , left side belly hip , thigh , knee , left crease knee",1
9 - left shoulder pain left side neck,1
dysuria abdominal pain,1
multifocal pneumonia,1
worwening hypoxia,1
right basilar pneumonia,1
agonal breathing,3
decompensated expired 1/7/2022,3
acute respiratory insufficiency,4
acute chronic respiratory insufficiency,1
cardiac enlargement,1
aortic root dilation,2
aki hypokalemia,2
ed complaints fatigue,1
cough dyspnea,1
fever diarrhea,1
cryptogenic organizing pneumonia,1
congestive ) heart failure,1
palpitations orthopnea,1
dizziness light-headedness,1
anxiety sleep disturbance,1
covid-19 acute renal failure,1
interstitial airspace opacities - remdesivir,1
extremity edema,1
hematemesis,1
melena,3
n/v/d abdominal pain,1
occlusive deep vein thrombosis lower left leg,1
covid pneumonia lower left lobe lung,1
low grade fever nausea,1
cpap type 2 diabetes,1
obstructive sleep apnea cpap,1
bph obstruction,1
lower urinary tract symptoms,1
acute myeloid leukemia,2
arterial thromboembolism,1
abdominal pain constipation,1
urgency flank pain,1
muscle pain edema,1
numbness/tingling weakness,1
anxiety hallucinations,2
-infectious disease,1
allergies,2
covid stemi,1
c/o confusion,1
bullae type rash left side neck right buttock cheek 11/6 11/11,3
contact dermatitis,3
join pain,1
back pain sweating,1
qt syndrome,1
trouble swallowing,3
suspicios atelectasis,1
heart pain,6
heart pounding,3
numbness along lower right side extremities,1
right ear pain,1
swollen lymph nodes right side neck,1
head congestion lethargy,1
spinal cord pains,1
pain along entire vertebra axis,1
malaise joint pain,1
bilateral lower extremity edema,2
heart palpitations tachycardia,1
- vertigo,1
- chronic fatigue,1
subacute left thalamic infarction,1
vomiting 10:00pm,1
copd alcoholic cirrhosis,2
acute chest pain,1
lump eye,2
hypoxemia,1
cova 19 pneumonia,1
right fatigue slight cough,1
eye red itchy,1
yeast infection,1
icu dyspnea,3
parkinson 's,1
aortic aneurysm,1
dyspnea hypoxemia,1
numbness & tingling right arm hand radiation right leg right foot,1
pneumonia -fib,1
cramping abdominal pain,1
atrial fibrillation eliquis,2
asthma/copd,2
dvt left lower extremity,2
sepsis covid-19 pneumonia,2
uremia,2
bilateral fluffy infiltrates,2
pericarditis a-fib,1
hysterectomy,1
intraparenchymal hemorrhage,2
right-sided weakness,4
deficiency anemia,4
"chronic gerd , depression",4
status epilepticus,4
intraparenchymal hemorrhage december 2020,2
burning painful urination,4
upper respiratory tract infections,2
shortness breath exertion,3
antibotics infection,3
nonradiating left arm back jaw,2
er nausea/emesis fatigue weakness,1
partial paralysis,1
face lips tongue throat,1
nausea bad back pain,1
vertigo vomiting,1
congestive running nose,1
pain said headaches,1
vertigo headaches,1
subsiding headaches,1
follicular lymphoma,5
mucinous adenocarcinoma,1
hyoid tumor lung cancer,1
chronic bilateral temporal headache,1
bilateral tinnitus,1
left arm hand paresthesia,1
hyperventilating,1
eye redness,1
focal seizure,1
thalassemia,1
tickle upper airways,2
cognitive function forgetfulness dizziness,1
daughter type 1 diabetes,1
tingle left hand,1
tia mini stroke,1
eliquis pulmonary embolism,1
pain arms neck,1
acute infarct right thalamus,1
tinnitus hearing loss,1
audiology,1
numbness/tingling sensation,1
chronic hypercapnic respiratory failure,2
painful itchy,2
failure,1
itchy face swollen tongue,1
guttate psoriasis,6
autoimmune disease,2
rashes joint pains,2
lupus ra,2
dermatologist rash,2
skin atrophy,2
striae,2
telangectasias tachyphylaxis,2
lift toes right foot,1
saturday sunday congestion,1
turning uri walking pneumonia,1
blisters mouth fatigue,1
shoulder neck pain,1
crohn abdominal pain,1
nagging shoulder pain,1
parsonage-turner syndrome right upper extremity,1
sinus infection broncitis,1
`` hang-over `` headaches,1
osteomyelitis lumbar spine,2
hypoxia - dexamethasone,1
bilateral reticular groundglass opacities,1
acute chronic respiratory failure hypoxia,1
multifactorial covid-19 infection,1
splinting due pain t7 fracture,1
-new lower extremity edema,1
bnp,1
copd acute covid-19 infection dexamethasone,1
numbness weakness extremities,2
throbing headache,1
acute leukemia,1
pain fatigue,2
right leg tremoring twitching,2
right leg hip toes,2
sore throat congestion,1
lipoma,5
acute appendicitis covid-19 pneumonia,1
headache dizziness nausea,1
light-headed ness,1
muscular/joint pain,1
pulsatine tinnitus,1
rlq abdominal pain,1
anastomisis,1
allergies hepatitis,1
sinus headache middle forehead coupled brain fog blurred vision,1
thanksgiving broke rash,1
vasculitis,1
stabbing sensations weakness,1
difficulty lifting left foot,1
abscess near anus,1
chest abdominal pain,1
gastro doctor checkout gastritis,1
foot pain swelling,1
pain/swelling axilla l deltoid,1
foot neck shoulders,1
dislocated shoulder,1
sudden hearing loss left ear,1
hematospermia,1
prostate swelling,1
acute stomach pains diarrhea,1
broken itchy,1
breast/armpit tenderness,1
underarm lymph swelling,1
chronic spontaneous urticaria,8
swelling face & throat,8
asthmatic,2
bone swelling,4
swelling went collar bone,2
swelling face & throat went injection site left arm collar bone & side face,1
vaccination site swelling,2
nausea ) pyrexia,2
nausea pyrexia,2
`` pituitary addinson 's disease,1
pituitary addinson 's disease,1
`` type 2 diabetic ``,1
`` lymphadenopathy,1
nerve pain ``,1
fibre neuropathy,1
`` small fiber neuropathy,1
nerve pain muscle pain,1
muscle spasm stomach,1
stomach discomfort,1
reflux/ bad indigestion,3
gerds ``,2
reflux ``,2
`` muscle spasm stomach ``,1
`` stomach discomfort ``,1
`` reflux,1
`` muscle spasm stomach `` `` stomach discomfort ``,1
hypochondriac,1
`` myocarditis ``,1
`` iga nephropathy ``,1
whole body rash itching,1
`` `` allergy ``,1
`` chest congestion ``,2
`` severe headaches ``,1
`` kidney stone ``,1
joint effusion,1
cellulitis / due injury lower leg,2
`` cellulitis,1
injury lower leg ``,1
heartburn stomach pain,1
`` high anxiety ``,1
whole body joint pain,1
back injury,2
rheumatoid arthritis ``,1
`` back injury ``,1
intervertebral disc protrusion,2
`` iron deficiency ``,1
`` whole body joint pain ``,1
iron deficiency sinus infection,2
arthralgia fatigue,1
vtach,2
cardiac arrhythmias,2
cardiac arrhythmias ``,2
teratoma,5
`` teratoma,2
`` cipro allergy ``,1
ovarian germ cell cancer,2
`` clammy ``,1
`` muscle pains ``,1
swollenness,2
swollenness ``,1
jardiance taken type 2 diabetes mellitus,1
diabetes type 2,2
jardiance,1
ulcers mouth,1
numbness left arm - radiated left leg,2
`` reflux ``,1
`` bronchiectasis ``,1
`` hypogammaglobulinemia ``,1
`` calcification,1
vessel heart ``,1
`` ulcers mouth ``,1
ophthalmic migraine,1
`` ocular migraine ``,1
`` indigestion,1
viral conjunctivitis,1
dry mouth insomnia,1
`` sleep apnea ``,3
`` malignant hyperthermia ``,1
pelvic discomfort,1
big headache,1
`` chronic depression ``,1
allegra allergy,1
metformin,1
eosinophilia,1
lipoma ``,1
`` moderate left arm pain ``,1
left arm swelling ``,1
augmentin allergy augmentin,1
`` vascular disease ``,1
vascular disease,1
`` sinus infection,1
`` light headache ``,1
dizzy light headache,1
eye twitching headaches,1
mrsa bacteremia,2
right base opacities,2
bilat pleural effusions,2
c/o weakness,3
mylagias,3
`` left side neck,1
grover 's disease,1
diabetes chronic right foot ulcer,1
dysuria.patient hypomagnesemia,1
erythema left lower leg,1
zoster,1
aches pains,1
stomach,1
bedbound s/p stroke,3
mental status hypoxemia,3
amitted respiratory failure,3
hip knee joints,1
finger tips toes ) painful,1
95y/o pmh dementia,3
ed c/o lethargy,3
bilat opacities,3
vitiligo right leg,2
septic shock bacterial co-infection,1
allergic reaction rash,1
fever congestion,1
"throbbing pains wrists , ankles",1
injuries,1
fatigue muscle aches,1
mild congestion,2
ascending weakness numbness,1
-coughing,1
open eyelids,1
right sided convulsions,1
right sided numbness,1
right sided weakness,1
right hand arm discoloration,1
right sided paresis,1
edema mucosa tongue,1
upper lip,1
tongue swollen,1
upper lip swollen,1
"swollen tongue , lip",1
sore throat heart palpitations,1
heart rate fever,1
muscle paralysis,1
56y/o pmh diabetes type2,2
interstitial airspace opacities,2
pain legs hips,1
grandchild headache,1
pain left arm pain,1
right cheek,1
hearing loss right ear,2
blurred vision right eye,1
neck stiffness,3
neck pain posterior right side extending upper back,1
targetoid lesion,1
lll pneumonia,1
right upper arm redness,1
right axillary swelling,1
nausea/vomitting,1
left arm shoulder pain,1
zofran nausea,1
swollen tightening throat inflammation face extremities,1
poor appetite,1
covid-19 viral infection hyponatremia,1
thrombocytosis,1
`` eczema rash,1
eczema ``,1
faint fatigue,2
hemorrhaging,1
stomach pain.facial color pallor,1
tender l elbow joint,1
congestive cough,1
intermittent right eye blindness,2
bilateral ophthalmic arteritis optic nerve constriction,2
left wrist persistent wrist pain,1
cold-like symptoms,1
shoulders hips,1
nasal ear pain,1
multi system organ failure,1
saddle pulmonary embolism right heart strain hypoxia,1
acute pericarditis,2
unspecified type single subsegmental pulmonary embolism,2
cor pulmonale,5
rash palm hand went way elbow,1
lymphadenopathy l mediastinum l supraclavicular areas,1
fatigue abdominal pain,1
substernal/epigastric pain,1
"respiratory , cardiovascular gastrointestinal symptoms",1
immediate-type hypersensitivity reaction covid vaccine,1
abdominal pain headaches,1
muscle pain joint pain,1
-prn antitussives,1
-prn tylenol,1
ed covid-19 infection,1
l chest wall pain,1
chest wall pain,1
acute fatigue,1
muscle aches/pains,1
cramps/diarrhea,1
muscle pain stiffness,1
neck pain headache,1
auto-immune disease,1
paresthesias,1
diaphoresis nausea,1
motor vehicle accident,3
"pulmonary , infectious disease",1
posttraumatic brain injury seizure disorder,1
quadriplegia,1
bacterial pneumonia cva,1
fever blister/cold sore type lesion upper lip,1
heart pains,1
urticaria allergies,1
"sinus congestive , running nose",1
fatigue slight cough,1
rashes,5
difficulty swallowing difficulty breathing,1
generalized anxiety disorder,1
indigestion left sided chest pain radiating shoulder lower back,1
acute cerebellar hemorrhage,2
cerebellar hemorrhage compression brainstem,1
cerebellar hemorrhage,1
ascending aortic aneurysm,1
calcific aortic stenosis,1
diastolic heart failure,1
bicuspid aortic valve valuloplasty,1
brain cancer,1
nausea lightheadedness,1
cellulitis osteomyelitis right foot,1
panic attacks,1
pitting edema swelling bilateral lower extremities,1
rectal hemorrhage,1
viral covid-19 pneumonia,1
acute hypoxic hypercapnic respiratory failure,1
cta-ground glass opacities,2
yesterday headache,1
emergency department epigastric discomfort,1
epigastric discomfort,1
dx arrythmia,1
dehydration arrhythmia,1
bit fever,1
nausea vomiting cough,2
diffuse parenchymal disease,1
decadron,1
intubated due worsening condition,1
pain/cramping,1
cervical spondylosis myelopathy,2
atherosclerotic heart disease,2
coronary artery without angina pectoris,2
mitral valve insufficiency,2
cerebral ischemic attack,2
acute hypoxemic respiratory insufficiency,1
covid-19 pneumonia -cta thorax,1
bilateral pneumonia,4
dyslipidemia -stable -asa -statin intolerance,1
loc head trauma,1
jerking confusion,1
statin intolerance,1
claudication,1
leg swelling pnd,1
joint swelling muscle pain,1
light-headedness weakness,1
asymmetric motor weakness,1
syncope collapse syncope,3
head congestion,6
superficial thrombophlebitis,1
bloating,3
joint pain hip knees,1
12/4 neck shoulder pain,1
lue numbness,1
mri cervical spine,1
canal stenosis,1
myelitis,1
nasal sinus congestion,1
respiratory extremis,1
ccu,1
acute renal disease,1
diffuse rash,1
multi-focal pneumonia,1
fever - tylenol sinusitis,1
right ear - otitis,1
conjunctivitis - tobramycin,1
anxiety panic attacks,2
tinnitus ears,2
"sternum , radiating pain sides abdomen",1
left anterior uveitis,1
pain/pruritis,1
maternal tachycardia,2
fetal tachycardia,2
itching tongue throat,1
h/o asthma,1
itching tongue,1
covid pt diarrhea,2
fever/aches/tired/nausea /sore arm/insomnia,1
left arm numbness/tingling,1
left side face numbness/tingling,1
left side head numbness/tingling,1
left side neck numbness/tingling,1
left arm pit swelling,1
nausea photophobia,1
spontaneous urticaria,2
ankle rash,1
sore arm slight fever,1
allergic reaction something viral rash,1
chest nasal congestion,1
fatigue congestive,1
fatigue stabbing pain blurry vision weakness,1
ringing ears,1
abdominal internal fever,1
pleurisy lung pain,1
-associated myocarditis,1
mis-c systemic autoimmune disease,1
constipation chest pain,1
9/1/2021 bilateral covid pneumonia,1
streptococcal pharyngitis,2
joint pain fever,1
paroxysmal atrial fibrillation anticoagulation,1
chronic hematuria,1
tobacco user chronic pain,1
bruising left elbow,1
pancreatic cancer,1
bilateral covid pneumonia,1
right facial never palsy,1
palpable swelling upper arm/shoulder,1
left anterior lateral neck,1
hoarseness,1
difficulty swallowing,1
overlying erythema,1
shortness breath worsening,1
generalized anxiety,1
petechial rash trunk extremities,2
bleeding mouth intraoral lesions,2
bone pains,2
lymph node swellings,2
hematologic disease malignancy,2
pos tremor,2
palpitations pulm,2
normocephalic,2
rhinorrhea eyes,2
adenopathy,2
thyromegally,2
sensory deficit,2
nash cirrhosis gastroparesis,2
hepatic encephalopathy,2
ascites extremity edema,2
chronic colitis,1
gluten intolerance,1
lactose intolerance,1
aphthous ulcers,1
severe body aches,1
cognitive ability-,1
muscle pains elbows,1
"left ear red , swollen , itchy",1
right-sided lower abdominal pain,1
conjunctival injection neck supple heart - murmur,1
right lower quadrant tenderness,1
non-distended extremities - edema,1
pulmonary embolism groundglass opacities,1
right shoulder area pain,1
itching right deltoid increase soreness shoulder arm,1
hand cellulitis,1
mdhx epilepsy,1
narcolepsy,2
bad headache headache,1
asthma illness,1
ed fever,2
loss appetite myalgias,2
appetite myalgias,2
postnasal drip nonproductive cough,2
palpitations dyspnea,2
rhinorrhea postnasal drip,2
sinus pressure tinnitus,2
syncope weakness,2
left arm redness swelling,1
olfactory dysfunction,1
pm fever,1
102-104 fever,1
breast neck,2
breath- sinus congestion- nasal congestion,3
burning pain hands along bones fingers joints,3
weight gain insomnia,3
tender lymphadenopathy left axilla,1
5/26-5/30/2021 diarrhea,2
5/27-5/30/2021 fatigue,2
right eye visual impairment,1
posterior pole vitreous detachment,1
vision right eye,1
right eye vision,1
hyperkalemia,1
"tingling left hip , pelvis left thigh",1
weakness left thigh,1
heavy sensation lower left back left side pelvis,1
norco pain,1
l-vision aura l-ear congestion,1
/headache,2
dizzy/weakness,1
bad fatigue,1
hearing,1
parsonage-turner syndrome,1
"racing heart , fatigue",1
thrombophlebitis,1
hypovolemic shock,1
generalized weakness without respiratory symptoms,1
calcific debris/small stones distal left ureter hydronephrosis,1
respiratory covid symptoms,1
cxr,1
high tolerance pain,1
hypoxemic respiratory failure sepsis,1
swollen ankles abdominal/stomach pain,1
abdominal/stomach pain stroke,1
left jaw pain,1
left neck pain,1
abdominal/stomach pain,1
viral encephalitis,1
`` viral encephalitis ``,1
central nervous system infection,1
`` infection central nervous system ``,1
`` deep vein thrombosis ``,1
`` liver kidney failure ``,1
`` kidney failure ``,1
`` soreness shoulder ``,1
`` soreness shoulder neck bone ``,1
benadryl allergy ``,1
`` numbness legs ``,1
`` numbness legs hurt ``,1
`` muscle fatigue ``,1
dry mouth ; body aches,1
migraine pfizer booster,1
headaches ``,1
concussion ``,1
needle stick injury,2
`` bleeding thumb `` ``,1
`` arthritis inflammation ``,1
arthritis inflammation pain,1
vertigo/ dizziness,1
dizziness vertigo nausea,1
true vertigo,1
nauseous vertigo,1
wave vertigo,2
meclizine regular dizziness,1
sore arm/arm painful,1
polydipsia,1
dizziness arm painful,1
shoulder due arthritis,3
throbbing pain radiating back neck elbow arm,1
neck sore/ pain left side neck,1
pain left side neck,1
advil pain,1
`` wolff-parkinson-white syndrome,1
joint swelling hands knees,1
swelling irritation,1
bursitis arthritis,1
pain elbow fingers,1
pain back neck upper spine,2
`` bell 's palsy ``,1
`` arthritis right hip ``,1
neck upper spine ``,1
`` diarrhoea ``,1
nauseous diarrhoea,1
"`` numbness right hand , fingers arm ``",1
lip disorder,1
walker due pain,1
pain left leg hip foot,2
`` sciatic pain ``,1
sciatic pain right leg chronic right foot pain,1
cannabis leg pain,1
`` pain left leg hip foot ``,1
`` irritable bowel ``,1
`` bladder ``,1
bladder disorder,1
vitamins tylenol arthritis,1
arthritis bad left knee,1
genetic / chromosomal abnormalities,2
achiness headache nausea,1
erythema eyelid,1
`` upper respiratory infection ``,1
sick pain,2
`` sick pain ``,1
stuffy sinuses,1
sinus headache ``,1
armpit swelling pain,2
`` armpit swelling pain,1
adenocarcinoma lung t3 involvement pericardium,1
malignant pericardial effusion,1
pruney fingers,1
searing muscle pain,1
pruney fingers ``,1
`` searing muscle pain ``,1
`` restless legs syndrome,1
`` mental fatigue ``,1
`` asymmetrical cortical thinning right aypocampus lobe ``,1
cortical dysplasia,1
pain shingrex,1
`` swelling tongue ``,1
`` irritable ``,1
eua fever,1
"swelling left arm , shoulder",1
swelling right shoulder,1
heat fever,1
vomiting abdominal pain,2
right hepatectomy,2
emotional numbness,2
mental disorders,2
pain neck area / upper spine,1
`` pain muscle ``,1
decreased appetite cough,1
acute myasthenia gravis,2
myasthenia gravis crisis,1
`` acute myasthenia gravis,2
`` colitis ulcerative ``,2
pain right elbow,1
`` extreme pain right elbow ``,2
joint pain back hips,1
brain `` zaps ``,1
`` hashimoto 's thyroiditis ``,1
`` severe adhesive allergy ``,1
joint pain back hips ``,1
electric shock sensation,1
`` neuroendocrine cancer,1
neuroendocrine cancer,1
neoplasm,4
`` tumor,2
neoplasm metastasis,1
migraines behind left eye,4
swollen left eyelid,2
red itchy,2
"swollen left eyelid , red itchy",1
skin peeling,1
skull ``,3
`` swollen left eyelid,4
joint body pain,1
covid joint pain,3
hair disease,1
lichen planopilaris,1
pain - unknown swelling,1
rash swelling,1
knee replacement,1
`` chronic spontaneous urticaria,5
`` `` chronic spontaneous urticaria,1
ankle legs swollen,2
`` ankle legs swollen ``,1
`` painful walk ``,1
asthma copd bronchitis,1
iodine allergy,1
white blood cell disorder,1
awful cramps bleeding,1
dysmenorrhea,1
heal toe infection,3
complete body pain,1
leg tingling,1
toe pain,1
heal toe infection ``,3
`` complete body pain ``,2
`` major toe pain ``,2
`` ankle pain,3
`` leg tingling ``,1
`` sciatica issues ``,1
`` calf pain ``,1
`` tingling ``,1
`` able heal toe infection ``,2
`` headaches,1
infection,1
cpap sleep apnea,1
cellullitis,2
terrible joint pain,2
terrible joint pain ``,1
sacroiliac hip injury ``,2
`` sacroiliitis ``,1
`` sciatica ``,1
menometrorrhagia,2
tumefactive demyelination,3
`` autism spectrum disorder,1
tumefactive demyelination ``,1
seizure ``,2
demyelination seizure,1
covid infections,2
`` miscarriage,1
mouth tongue tingling oral ulcer,3
"woke headache left , left side spastic weakness",1
face neck inner ear fullness,8
blister lesions 2 upper extremities distal neck small painful papular rash posterior scalp,3
left side spastic weakness,7
periorbital eye strain vision,3
`` dysautonomia ``,1
`` lymphocytic vasculitis,1
`` microfibril neuropathy,1
`` umn inflammation ``,1
menopause,1
lymphocytic vasculitis,1
blister rash,1
microfibril neuropathy,1
umn inflammation,1
rash papular,3
upper extremities distal neck small painful papular rash posterior scalp,2
muscle spasticity,1
paraesthesia oral,1
`` mouth tongue tingling oral ulcer ``,2
"paraesthesia oral , muscle spasticity",2
upper extremities distal neck small painful papular rash,1
`` periorbital eye strain vision,1
`` mouth tongue tingling oral ulcer `` ``,1
blood disorder,3
`` nuts allergy ``,1
`` scleroderma ``,2
covid illness,3
"measles , mumps , rubella vaccines",1
`` scoliosis ``,1
guillain barre syndrome ``,1
arthritis/ arthritis legs,1
`` numbness leg ``,1
`` arthritis/ arthritis legs ``,1
numbness leg ``,1
numbness leg,1
`` heart damage ``,1
cardiac cath,1
`` dairy allergy ``,2
dairy allergy,1
cardiac distress,1
bad aches,1
`` malignant neoplasm,1
malignant neoplasm,1
`` sjogrens syndrome ``,1
breast cancer lumpectomy ``,1
`` type b diabetes ``,1
head chest congestion,2
`` head chest congestion,3
vaccination failure,1
megacolon,2
vaccine-related injuries,1
heart complications,1
heart complications ``,1
`` stomach cramps,1
`` cat allergy ``,1
`` ichthyosis ``,1
"sore throat , fatigue",1
pcr/symptoms,1
nasal congestion ``,1
runny nose nasal congestion,1
corneal erosion,4
pulmonary congestion,2
`` pulmonary congestion,1
loss hearing right ear,1
disease inner ear,1
hands itchy,1
allergic peg polysorbate,1
asthma allergies,1
movement disorder contusion,1
"pain right thigh , arm knee ; pain right thigh , arm knee ; pain right thigh , arm knee",1
vaginal haemorrhage,1
"`` pain right thigh , arm knee ``",1
renal disorder,1
lower limb fracture,2
herpes simplex ``,1
"herpes simplex , hypersensitivity",1
nausea headache,1
axillary pain pain,1
wrestles anxiety,1
pulmonary embolism ``,2
embolism,2
pulmonary infarction,2
general malaise,1
swelling peripheral swelling,1
high grade fever,3
bad back pain,1
`` bad back pain ``,1
`` fatigues ``,1
stiff neck pain,1
`` stiff neck pain ``,1
musculoskeletal stiffness pyrexia,1
`` food allergy ``,1
zucchini,1
sore joints,1
mitral valve prolapse ``,1
`` polycystic ovarian syndrome ``,1
`` mthfr deficiency ``,1
arthralgia nausea,1
vision disturbances,1
noninfective encephalitis,1
`` inflammation brain ``,1
`` vision disturbances ``,1
`` problems inflammation,2
`` `` vision disturbances,1
march vision disturbances,1
brain inflammation,1
`` gluten intolerance ``,1
dizziness memory impairment,1
hordeolum,1
hordeolum urinary tract infection,1
numbness uncomfortable painful pain armpit,1
elbow ``,2
blue/blackish discoloration,1
`` joint muscle pain ``,2
`` joint muscle pain,1
dizz/dizziness,1
`` dizz/dizziness ``,1
`` myalgia ``,1
am 10jan myalgia,1
covid breakthrough infection,1
`` periodic fever syndrome ``,1
periodic fever syndrome,1
penicillian ``,1
covid pneumonia ``,1
axillary mass axillary pain,1
tender swelling,1
proteinuria,2
"speech , hand , movement impairment",1
acute inflamation artritis,1
diastolic chf,1
hypercalcemia,1
nephrology,1
mental status hypercalcemia,1
"swelling behind left knee , pain discomfort",1
hx lewy body dementia,1
ischemic cardiomyopathy/chronic shf,1
nsvtach parox afib,1
encephalopathy,1
head/muscle pain,1
beaumont trenton 2/2 hypotension,1
sob cough,3
cxr upper lobe consolidation lower lobe atelectasis,3
acute chronic combined systolic diastolic congestive heart failure,1
b/l armpit swelling,1
hypomagnesemia,2
y/o pmh asthma,3
asthma chf,1
hlp,2
gi bleed,2
ed 1/11/22 fever,2
chronic memory loss,1
ems weakness,1
left-sided weakness,1
postnasal drip otherwise symptoms illness,1
wounds,1
dvt,1
blood clotting bleeding disorders,1
kidney disease,1
febrile tachycardia,1
hearing right ear,1
muscle ache headache fatigue,1
covid-19 illness,3
mid lower lung opacifications bronchopneumonia,3
interstitial pulmonary edema,3
painful stomach cramps,1
weakness joint pain,1
paracarditus inflammation,1
lips tongue swelling,1
alzheimer 's dementia,1
generalized fatigue weakness diarrhea,1
miniutes dizziness,1
"pain back head , neck pain redness",1
dizziness lightheaded pain left ear,1
carotid artery stenosis,3
ed increased weakness,3
chronic cough chronic nausea,3
mthfr deficiency,1
right diaphragmatic paralysis,1
remote cva,1
right-sided weakness dysphagia,1
chronic 6l nc,1
loss taste smell dyspnea,1
allergic reaction & complain itching,1
abdominal discomfort loss appetite,1
cyclical fever,1
orthostatic dizziness,1
subjective fever,4
lower extremity pain swelling,3
flank pain,4
parathedias,3
shortness breath chest discomfort,1
weakness headaches,1
positvie tachypnea,1
unremarkable - leukocytosis,1
ulcerative proctitis,1
bowel movements new bleeding/ clotting defecating,1
monday fever,1
intermittence bouts vertigo,1
emergency department generalized weakness,1
secondary dementia,1
hosp covid pneumonia,1
throat inflammation,1
non-airway obstructing,1
ovarian cyst,1
mouth ulcer,1
vertigo lingered chronic feeling motion sickness nausea,1
suspicious abnormalities,1
chronic vestibular migraine,1
sneezes,1
colon cancer,1
sigmoid colectomy,1
fib coumadin,1
slutsky 's ring hypertension,1
advanced dementia,1
mucoid opacification `` central segmental bronchi,1
whole body joints pain,1
chf persistent bibasilar atelectasis,2
rul opacity,1
icu/intubation,1
lower extremity swelling,1
pulmonary venous hypertension bilateral isld,1
ble weakness,2
saddle anesthesia,2
pain radiating left breast 2,1
progressive weakness,1
cough/congestion/soa,1
esophageal motility radiation non-hodgkin 's lymphoma,1
y/o pmh may-thurner syndrome,3
stent placement sickle cell disease,3
ed c/o abdominal pain back pain x2,3
a/p nonspecific enteritis,3
partial intermittent small bowel obstruction,3
pericarditis pericardial effusion,1
stomach erosion,1
colchicine pericarditis,1
1/11/2022 - left axillary pain swelling,1
1/12/2022 - left axillary pain swelling,1
1/13/2022 - left axillary pain swelling,1
1/14/2022 - left axillary pain swelling,1
pain extending left elbow,1
chest back pain,1
anterolateral wall motion abnormalities,1
t-wave abnormalities,1
takotsubo cardiomyopathy,2
acute cardiomyopathy,1
coronary arteries,1
c/o headache throat pain,1
26wk0d gestation fever,1
ama,1
fatidue,2
increased tinnitus/hearing loss,1
upper back left shoulder,1
cough nausea,1
vaginal ulcer,1
tingling head,1
heart racing diarrhea,1
r/t hypoglycemia cramping,1
burning sensation outer side left heel,1
orthostatic hypotension tachycardia,1
near syncope,1
hand swelling,1
facial edema,1
intractable vomiting nausea 12/14,1
muscle cramping joint pain,1
numbness left side face left side,1
vomiting fever,1
